px py yaw vaim_x vaim_y vset_x vset_y min_dist
-0.85433 -1.67669 0.0433657 0 0 -0.399 0 0
-0.85433 -1.67669 0.0432548 0 0 -0.399 0 0
-0.854318 -1.67669 0.0433129 0 0 -0.399 0 0
-0.854343 -1.67669 0.043315 0 0 -0.399 0 0
-0.854325 -1.6767 0.0432759 0 0 -0.399 0 0
-0.854338 -1.67669 0.0432488 0 0 -0.399 0 0
-0.854319 -1.6767 0.0432927 0 0 -0.399 0 0
-0.854344 -1.67669 0.0432309 0 0 -0.399 0 0.948
-0.85433 -1.6767 0.0433151 0 0 0 -0 0.948
-0.854345 -1.67669 0.0431982 0 0 0 -0 0.948
-0.854295 -1.67667 0.043 0 0 0 -0 0.948
-0.854349 -1.67668 0.0432529 0 0 0 -0 0.950006
-0.854295 -1.67667 0.0429426 0 0 0 -0 0.950006
-0.854352 -1.67668 0.0432342 0 0 0 -0 0.949999
-0.854321 -1.6767 0.0432319 0 0 0 -0 0.949999
-0.854347 -1.67669 0.04329 0 0 0 -0 0.950001
-0.854339 -1.67668 0.0432514 0 0 0 -0 0.95
-0.854339 -1.67669 0.0432957 0 0 0 -0 0.95
-0.854357 -1.67669 0.043243 0 0 0 -0 0.948001
-0.854321 -1.6767 0.0432792 0 0 0 -0 0.948001
-0.854347 -1.67669 0.0432242 0 0 0 -0 0.95
-0.854336 -1.67669 0.0432886 0 0 0 -0 0.95
-0.854338 -1.67669 0.043299 0 0 0 -0 0.95
-0.85435 -1.67669 0.04324 0 0 0 -0 0.950001
-0.854304 -1.67668 0.0429261 0 0 0 -0 0.950001
-0.854353 -1.67669 0.0432646 0 0 0 -0 0.949998
-0.85433 -1.6767 0.0432728 0 0 0 -0 0.950001
-0.854341 -1.6767 0.043257 0 0 0 -0 0.950001
-0.854364 -1.67668 0.0432978 0 0 0 -0 0.950002
-0.854308 -1.67668 0.0430018 0 0 0 -0 0.950002
-0.854348 -1.6767 0.0433342 0 0 0 -0 0.949997
-0.85434 -1.67669 0.0432467 0 0 0 -0 0.948002
-0.854324 -1.6767 0.0432156 0 0 0 -0 0.948002
-0.854366 -1.67669 0.0432598 0 0 0 -0 0.95
-0.854335 -1.6767 0.0432292 0 0 0 -0 0.949999
-0.854332 -1.6767 0.0432949 0 0 0 -0 0.949999
-0.854339 -1.67669 0.0431972 0 0 0 -0 0.950002
-0.854325 -1.67671 0.0431716 0 0 0 -0 0.949998
-0.854339 -1.67671 0.0432898 0 0 0 -0 0.949998
-0.854357 -1.67669 0.0432384 0 0 0 -0 0.949997
-0.854332 -1.67671 0.0432067 0 0 0 -0 0.948004
-0.854356 -1.6767 0.043312 0 0 0 -0 0.948004
-0.854348 -1.67669 0.0432428 0 0 0 -0 0.950004
-0.854316 -1.6767 0.0432266 0 0 0 -0 0.950004
-0.854342 -1.67669 0.0433092 1.38905 -0.00162053 1.38905 -0.00162053 0.949996
-0.854342 -1.6767 0.0432908 1.38905 -0.0012069 1.38905 -0.0012069 0.949999
-0.854325 -1.67671 0.0432689 1.38907 -0.00103415 1.38907 -0.00103415 0.949999
-0.854355 -1.67671 0.0433388 1.38907 -0.00103415 1.38907 -0.00103415 0.949998
-0.854344 -1.6767 0.0432819 1.38905 -0.00104135 1.38905 -0.00104135 0.950005
-0.854331 -1.67671 0.0432561 1.38909 -0.000870661 1.38909 -0.000870661 0.950005
-0.854361 -1.6767 0.0433733 1.38909 -0.000870661 1.38909 -0.000870661 0.95
-0.854351 -1.67669 0.0433258 1.38909 -0.00159013 1.38909 -0.00159013 0.949998
-0.854318 -1.6767 0.0431978 1.38909 -0.00151818 1.38909 -0.00151818 0.949998
-0.854348 -1.67669 0.043275 1.38908 -0.00135667 1.38908 -0.00135667 0.950001
-0.854345 -1.67669 0.0432767 1.38908 -0.00109665 1.38908 -0.00109665 0.949999
-0.854328 -1.67671 0.0432527 1.3891 -0.000846876 1.3891 -0.000846876 0.949999
-0.854357 -1.67671 0.0433575 1.38906 -0.000686048 1.38906 -0.000686048 0.949997
-0.854354 -1.6767 0.0433066 1.38906 -0.000832462 1.38906 -0.000832462 0.950003
-0.854316 -1.67668 0.0429872 1.38909 -0.00121004 1.38909 -0.00121004 0.950003
-0.854356 -1.67671 0.0433298 1.38909 -0.00121004 1.38909 -0.00121004 0.950002
-0.854348 -1.67669 0.0433163 1.38907 -0.000848166 1.38907 -0.000848166 0.949993
-0.854323 -1.6767 0.0432074 1.38907 -0.00105501 1.38907 -0.00105501 0.949993
-0.854349 -1.6767 0.0433528 1.38905 -0.00123416 1.38905 -0.00123416 0.950003
-0.854339 -1.67668 0.043295 1.38905 -0.00136038 1.38905 -0.00136038 0.949999
-0.854341 -1.6767 0.0432202 1.38905 -0.000571494 1.38905 -0.000571494 0.95
-0.854345 -1.6767 0.0432962 1.38909 -0.000679451 1.38909 -0.000679451 0.95
-0.85435 -1.67669 0.0432763 1.38908 -0.00129594 1.38908 -0.00129594 0.95
-0.854332 -1.67669 0.043238 1.3891 -0.0015017 1.3891 -0.0015017 0.951999
-0.854331 -1.67669 0.0432761 1.3891 -0.0015017 1.3891 -0.0015017 0.951999
-0.854351 -1.67668 0.0432923 1.38907 -0.00144929 1.38907 -0.00144929 0.95
-0.854333 -1.6767 0.0432744 1.38907 -0.00136719 1.38907 -0.00136719 0.95
-0.854327 -1.6767 0.0431425 1.38907 -0.00136719 1.38907 -0.00136719 0.95
-0.84953 -1.67763 0.0520813 1.38907 -0.000690224 1.38907 -0.000690224 0.949998
-0.830025 -1.67968 0.0569353 1.38907 -0.00115686 1.38907 -0.00115686 0.951997
-0.795198 -1.6835 0.0372445 1.38814 -0.00276028 1.38814 -0.00276028 0.951997
-0.745841 -1.68861 0.00416271 1.38814 -0.00277762 1.38814 -0.00277762 0.96061
-0.685688 -1.6947 -0.0217618 1.39432 -0.000999197 1.39432 -0.000999197 0.984158
-0.619033 -1.70141 -0.0292772 1.3943 0.00792512 1.3943 0.00792512 0.984158
-0.549095 -1.70802 -0.0304668 1.3943 0.00792512 1.3943 0.00792512 1.01801
-0.478003 -1.71418 -0.0314062 1.37691 0.10054 1.37691 0.10054 1.07054
-0.406889 -1.71933 -0.0295918 1.37691 0.10054 1.37691 0.10054 1.07054
-0.336378 -1.72177 -0.0239834 1.39149 0.16125 1.39149 0.16125 1.12962
-0.265042 -1.72318 -0.0145546 1.39106 0.164951 1.39106 0.164951 1.1891
-0.193691 -1.7221 -0.00879067 1.37537 0.171227 1.37537 0.171227 1.1891
-0.122262 -1.7198 -0.00168804 1.37473 0.176277 1.37473 0.176277 1.14126
-0.051269 -1.71669 0.011566 1.41886 0.15801 1.41886 0.15801 1.02967
0.0202115 -1.71259 0.0273831 1.38162 0.149923 1.38162 0.149923 1.02967
0.0929887 -1.70797 0.0426673 1.38162 0.14991 1.38162 0.14991 0.929021
0.165056 -1.70184 0.049847 1.40372 0.130185 1.40372 0.130185 0.929021
0.237437 -1.69514 0.0576794 1.40372 0.130185 1.40372 0.130185 0.829536
0.309642 -1.68805 0.0649745 1.40789 0.0594582 1.40789 0.0594582 0.722933
0.382036 -1.68054 0.0701369 1.40765 0.0648253 1.29481 0.118349 0.722933
0.453434 -1.67423 0.0731738 1.42649 0.048542 1.29196 0.11235 0.628534
0.521156 -1.66659 0.0767749 1.42625 0.0549126 1.19689 0.193487 0.544187
0.587169 -1.65806 0.079868 1.42625 0.0549126 1.19689 0.193487 0.544187
0.649488 -1.64715 0.0812707 1.34775 0.137766 1.16282 0.275609 0.471552
0.710862 -1.63462 0.0868755 1.34693 0.145527 1.06862 0.2662 0.471552
0.770034 -1.6194 0.0939336 1.33789 0.26427 1.06862 0.2662 0.426343
0.825863 -1.60377 0.10547 1.3414 0.245814 0.988168 0.22149 0.409254
0.87992 -1.58843 0.120133 1.33379 0.28307 0.916853 0.145829 0.409254
0.929963 -1.57435 0.136819 1.33379 0.28307 0.916853 0.145829 0.41018
0.977331 -1.56247 0.158674 1.33714 0.266824 0.8634 0.0560957 0.377458
1.02342 -1.55083 0.179334 1.34305 0.23528 0.809569 -0.0364157 0.377458
1.06755 -1.54268 0.200804 1.34305 0.23528 0.809569 -0.0364157 0.348069
1.10932 -1.53739 0.222712 1.28794 0.288399 0.746362 -0.107798 0.326754
1.1505 -1.5328 0.243431 1.28794 0.288399 0.746362 -0.107798 0.326754
1.1902 -1.52941 0.270674 1.25281 0.346987 0.685135 -0.146537 0.30954
1.22879 -1.52593 0.299608 1.25768 0.328911 0.632267 -0.180585 0.294397
1.26513 -1.5239 0.332664 1.25768 0.328911 0.632267 -0.180585 0.294397
1.29969 -1.52271 0.366944 1.21074 0.40571 0.582308 -0.186778 0.28231
1.33375 -1.52075 0.401276 1.21567 0.39069 0.563185 -0.184336 0.28231
1.36619 -1.51859 0.439403 1.21995 0.448846 0.563185 -0.184336 0.27226
1.39388 -1.51595 0.476381 1.22489 0.4352 0.568188 -0.162623 0.26254
1.42754 -1.51147 0.521211 1.22976 0.42122 0.582722 -0.13961 0.26254
1.45855 -1.50484 0.560599 1.22976 0.42122 0.582722 -0.13961 0.255158
1.48855 -1.49589 0.599478 1.2336 0.409851 0.566252 -0.074318 0.252271
1.51816 -1.4847 0.640318 1.29332 0.45478 0.566252 -0.074318 0.252271
1.54241 -1.47219 0.680124 1.29505 0.449832 0.521181 -0.0130729 0.249568
1.57038 -1.4558 0.722803 1.31774 0.43609 0.465186 0.0607735 0.247662
1.59153 -1.43905 0.766867 1.31774 0.43609 0.465186 0.0607735 0.247662
1.6077 -1.42066 0.811388 1.33894 0.409883 0.440179 0.109758 0.249477
1.6234 -1.40278 0.850071 1.3376 0.414258 0.440686 0.147958 0.246896
1.63542 -1.38151 0.897917 1.36195 0.368437 0.440686 0.147958 0.246896
1.64632 -1.36064 0.928852 1.36232 0.367059 0.429411 0.171177 0.242984
1.65477 -1.33677 0.971727 1.36506 0.356724 0.501575 0.179768 0.242984
1.66364 -1.3144 1.01026 1.36406 0.276539 0.501575 0.179768 0.237977
1.67217 -1.28918 1.04261 1.36611 0.266265 0.468439 0.179784 0.235353
1.68031 -1.26296 1.07061 1.37881 0.225557 0.466539 0.176122 0.235353
1.68643 -1.23619 1.09339 1.37881 0.225557 0.466539 0.176122 0.238743
1.69141 -1.21093 1.12104 1.37842 0.21702 0.466317 0.175266 0.242419
1.69642 -1.18538 1.14824 1.37773 0.221354 0.446564 0.175881 0.242419
1.70066 -1.16025 1.17548 1.37773 0.221354 0.446564 0.175881 0.246147
1.7039 -1.13495 1.19874 1.37585 0.208544 0.453734 0.160355 0.250969
1.70613 -1.11034 1.21858 1.37653 0.203994 0.457892 0.158163 0.250969
1.70793 -1.0856 1.23853 1.34399 0.190195 0.457892 0.158163 0.250196
1.7107 -1.06112 1.25794 1.34688 0.168564 0.498977 0.127933 0.250958
1.71256 -1.0361 1.27523 1.34987 0.154935 0.535997 0.107883 0.250958
1.71553 -1.00999 1.29064 1.34987 0.154935 0.535997 0.107883 0.252107
1.71993 -0.982136 1.30304 1.35152 0.139771 0.495018 0.110171 0.252846
1.72499 -0.953647 1.32811 1.3209 0.121905 0.4657 0.110043 0.252846
1.727 -0.928147 1.3336 1.3209 0.121905 0.4657 0.110043 0.257793
1.72877 -0.903631 1.34471 1.34678 0.145217 0.423558 0.133085 0.258612
1.72999 -0.879764 1.35551 1.34422 0.167249 0.387666 0.133343 0.258612
1.72951 -0.857256 1.36769 1.34422 0.167249 0.387666 0.133343 0.256646
1.72802 -0.83622 1.38071 1.34679 0.145133 0.411983 0.120853 0.255366
1.72691 -0.815245 1.38914 1.34521 0.136457 0.400886 0.112753 0.255366
1.72566 -0.793593 1.40018 1.35727 0.130234 0.400886 0.112753 0.252453
1.72537 -0.771368 1.40836 1.36033 0.0930643 0.426741 0.0929895 0.248694
1.72459 -0.749701 1.41532 1.3623 0.0573928 0.459228 0.0633569 0.248694
1.72473 -0.727366 1.42342 1.3623 0.0573928 0.459228 0.0633569 0.246796
1.72623 -0.703469 1.42897 1.35139 0.000520518 0.528264 0.0164632 0.245206
1.7285 -0.679053 1.43458 1.351 -0.032645 0.599541 -0.0216775 0.245206
1.73394 -0.651694 1.44074 1.35619 -0.0335744 0.599541 -0.0216775 0.244865
1.7399 -0.621032 1.44377 1.36008 -0.0660262 0.57409 -0.0984139 0.249489
1.74748 -0.590296 1.44656 1.3591 -0.0838103 0.564234 -0.18436 0.249489
1.75758 -0.561962 1.45241 1.35319 -0.0857465 0.564234 -0.18436 0.256378
1.77062 -0.53453 1.45588 1.35244 -0.0968621 0.527174 -0.206768 0.268962
1.78405 -0.507373 1.45594 1.33899 -0.0937166 0.527174 -0.206768 0.268962
1.79803 -0.481554 1.46 1.33943 -0.0871629 0.510387 -0.203799 0.27388
1.81165 -0.455718 1.46528 1.33441 -0.071823 0.483549 -0.16767 0.259516
