px py yaw vaim_x vaim_y vset_x vset_y min_dist
-1.11764 -1.69117 0.0250766 0 0 0 -0 0
-1.11765 -1.69117 0.0251258 0 0 0 -0 0
-1.11764 -1.69116 0.0252376 0 0 0 -0 0
-1.11765 -1.69118 0.0251489 0 0 0 -0 0
-1.11766 -1.69118 0.0251805 0 0 0 -0 0.98
-1.11766 -1.69117 0.025038 0 0 0 -0 0.98
-1.11765 -1.69117 0.025105 0 0 0 -0 0.98
-1.11766 -1.69118 0.0251263 0 0 0 -0 0.982006
-1.11762 -1.69116 0.0252792 0 0 0 -0 0.982006
-1.11765 -1.69117 0.0251428 0 0 0 -0 0.977998
-1.11757 -1.69119 0.0245379 0 0 0 -0 0.977998
-1.11765 -1.69116 0.0251205 0 0 0 -0 0.980002
-1.1176 -1.69114 0.0254273 0 0 0 -0 0.981994
-1.11765 -1.69118 0.0251788 0 0 0 -0 0.981994
-1.11765 -1.69118 0.0252732 0 0 0 -0 0.982003
-1.11763 -1.69118 0.0252653 0 0 0 -0 0.982003
-1.11766 -1.69117 0.025138 0 0 0 -0 0.98
-1.11766 -1.69118 0.0251775 0 0 0 -0 0.982001
-1.11753 -1.69119 0.0246211 0 0 0 -0 0.982001
-1.11766 -1.69118 0.0251414 0 0 0 -0 0.981999
-1.11759 -1.69114 0.0253878 0 0 0 -0 0.981999
-1.11765 -1.69118 0.025113 0 0 0 -0 0.982
-1.11765 -1.69119 0.0252815 0 0 0 -0 0.982001
-1.11756 -1.69115 0.0255361 0 0 0 -0 0.982001
-1.11759 -1.69117 0.0249941 0 0 0 -0 0.981999
-1.11758 -1.69114 0.0252881 0 0 0 -0 0.981999
-1.11763 -1.69117 0.0250587 0 0 0 -0 0.981998
-1.11766 -1.69118 0.025105 0 0 0 -0 0.982003
-1.11764 -1.69117 0.0250432 0 0 0 -0 0.982003
-1.11764 -1.69116 0.0250072 0 0 0 -0 0.981996
-1.11758 -1.6912 0.0245209 0 0 0 -0 0.982002
-1.11765 -1.69119 0.0251516 0 0 0 -0 0.982002
-1.11765 -1.69117 0.0251276 0 0 0 -0 0.982004
-1.11751 -1.69116 0.0247436 0 0 0 -0 0.982003
-1.11762 -1.69117 0.0250374 0 0 0 -0 0.982003
-1.11759 -1.69113 0.0253606 0 0 0 -0 0.982
-1.11764 -1.69117 0.0252251 0 0 0 -0 0.979991
-1.11761 -1.6912 0.0252416 0 0 0 -0 0.979991
-1.11766 -1.69119 0.0251908 0 0 0 -0 0.980001
-1.11767 -1.6912 0.0251012 0 0 0 -0 0.982001
-1.11762 -1.69119 0.0251502 0 0 0 -0 0.982001
-1.11765 -1.6912 0.0253252 0 0 0 -0 0.980005
-1.11763 -1.6912 0.025118 0 0 0 -0 0.982002
-1.11763 -1.69119 0.0249328 0 0 0 -0 0.982002
-1.11766 -1.69118 0.0252201 0 0 0 -0 0.979999
-1.11763 -1.69117 0.02521 0 0 0 -0 0.981988
-1.11761 -1.69117 0.025151 0 0 0 -0 0.981988
-1.11762 -1.69116 0.0252571 0 0 0 -0 0.982009
-1.11756 -1.69115 0.0255679 0 0 0 -0 0.981999
-1.11763 -1.69119 0.0251182 0 0 0 -0 0.981999
-1.11759 -1.69116 0.0254607 0 0 0 -0 0.979986
-1.11766 -1.69119 0.0251653 0 0 0 -0 0.980014
-1.11746 -1.69119 0.0249648 0 0 0 -0 0.980014
-1.11763 -1.69121 0.0252974 0 0 0 -0 0.980003
-1.11767 -1.6912 0.0251768 0 0 0 -0 0.982
-1.11764 -1.6912 0.0251778 0 0 0 -0 0.982
-1.11756 -1.69123 0.0245989 0 0 0 -0 0.980003
-1.11767 -1.69118 0.0251211 0 0 0 -0 0.981996
-1.11756 -1.69113 0.0252481 0 0 0 -0 0.981996
-1.11763 -1.69119 0.0250169 0 0 0 -0 0.980004
-1.11768 -1.69119 0.0251484 0 0 0 -0 0.981992
-1.11765 -1.6912 0.0251089 0 0 0 -0 0.981992
-1.11755 -1.69122 0.0245366 0 0 0 -0 0.982001
-1.1177 -1.69118 0.025262 0 0 0 -0 0.980002
-1.11766 -1.69118 0.0249887 0 0 0 -0 0.979999
-1.11761 -1.69119 0.0252435 0 0 0 -0 0.979999
-1.11767 -1.69119 0.0252009 0 0 0 -0 0.980005
-1.11758 -1.69121 0.0245231 0 0 0 -0 0.979984
-1.11752 -1.69122 0.0246645 0 0 0 -0 0.979984
-1.11767 -1.69119 0.0252063 0 0 0 -0 0.982011
-1.11759 -1.69115 0.0255604 0 0 0 -0 0.980002
-1.1176 -1.69119 0.0250654 0 0 0 -0 0.980002
-1.11765 -1.69118 0.0251071 0 0 0 -0 0.98
-1.11758 -1.69115 0.0252338 0 0 0 -0 0.979998
-1.11751 -1.69121 0.024652 0 0 0 -0 0.979998
-1.11764 -1.69118 0.0249717 0 0 0 -0 0.979992
-1.1175 -1.69118 0.0250236 0 0 0 -0 0.980014
-1.11755 -1.69121 0.0245177 0 0 0 -0 0.980014
-1.11756 -1.69123 0.0245389 0 0 0 -0 0.981998
-1.11759 -1.69122 0.024583 0 0 0 -0 0.979995
-1.11761 -1.69119 0.0252148 0 0 0 -0 0.982008
-1.11764 -1.69121 0.0252136 0 0 0 -0 0.982008
-1.11768 -1.6912 0.0252953 0 0 0 -0 0.979988
-1.11761 -1.69118 0.0250082 0 0 0 -0 0.982014
-1.11762 -1.69121 0.0251187 0 0 0 -0 0.982014
-1.11764 -1.6912 0.0253158 0 0 0 -0 0.981983
-1.11767 -1.6912 0.0251208 0 0 0 -0 0.980007
-1.11751 -1.69123 0.0246566 0 0 0 -0 0.980007
-1.11767 -1.6912 0.0251621 0 0 0 -0 0.982003
-1.11758 -1.69121 0.0245045 0 0 0 -0 0.980002
-1.11764 -1.6912 0.0251448 0 0 0 -0 0.980002
-1.11759 -1.69116 0.0254249 0 0 0 -0 0.97999
-1.11768 -1.69119 0.0251614 0 0 0 -0 0.980012
-1.11757 -1.69116 0.0253903 0 0 0 -0 0.980012
-1.11757 -1.69115 0.0253313 0 0 0 -0 0.981987
-1.1176 -1.69116 0.0254814 0 0 0 -0 0.982006
-1.11766 -1.69121 0.0251391 0 0 0 -0 0.980004
-1.11763 -1.69121 0.0250626 0 0 0 -0 0.980004
-1.11767 -1.6912 0.0252196 0 0 0 -0 0.981997
-1.11766 -1.6912 0.0251332 0 0 0 -0 0.982005
-1.11754 -1.69122 0.0245201 0 0 0 -0 0.982005
-1.11766 -1.6912 0.0252066 0 0 0 -0 0.982001
-1.11766 -1.69119 0.0250757 0 0 0 -0 0.981997
-1.11752 -1.69122 0.0246562 0 0 0 -0 0.981997
-1.11767 -1.69119 0.0251792 0 0 0 -0 0.980003
-1.11759 -1.69122 0.0245709 0 0 0 -0 0.982
-1.11762 -1.69119 0.02527 0 0 0 -0 0.982
-1.11766 -1.6912 0.0251577 0 0 0 -0 0.979986
-1.11758 -1.69121 0.0245196 0 0 0 -0 0.982016
-1.11763 -1.69118 0.0251394 0 0 0 -0 0.982016
-1.1175 -1.69118 0.024789 0.999729 -0.0232857 0.999729 -0.0232857 0.979997
-1.11768 -1.69118 0.0250826 0.999725 -0.0234643 0.999725 -0.0234643 0.979997
-1.11765 -1.6912 0.0251247 0.999723 -0.0235324 0.999723 -0.0235324 0.979997
-1.11762 -1.6912 0.0252521 0.999723 -0.0235324 0.999723 -0.0235324 0.979996
-1.11768 -1.69119 0.0252274 0.999723 -0.0235324 0.999723 -0.0235324 0.982006
-1.11766 -1.69119 0.0251536 0.999727 -0.0233548 0.999727 -0.0233548 0.981997
-1.11336 -1.69221 0.0297993 0.999727 -0.0233548 0.999727 -0.0233548 0.981997
-1.09405 -1.69427 0.02655 0.999729 -0.0232714 0.999729 -0.0232714 0.979996
-1.06034 -1.69675 0.0115862 0.999725 -0.0234485 0.999725 -0.0234485 0.980108
