state No tNow cmdX cmdY cmdZ cmdYaw realX realY realZ realYaw aimX aimY aimZ aimYaw ubarX ubarY ubarZ uresX uresY uresZ setVx setVy setVz roll pitch yaw SAFE_DS ALPHA_V
51 0 0.300267 0 -0 0 -0 -1.02922 -0.981138 0.0204132 -0.00447414 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00535334 0.0294754 0.00902821 0.3 0.3
51 1 0.300267 0 -0 0 -0 0.64119 1.43426 0.000838458 -0.0536274 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0289843 -0.00455447 0.107252 0.3 0.3
51 2 0.300267 0 -0 0 -0 1.1986 0.728533 -0.00119101 -0.128529 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0287357 -0.0268316 0.258206 0.3 0.3
51 0 0.350272 0 0 0 -0 -1.02916 -0.981137 0.0204057 -0.00411476 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00532912 0.0295353 0.00830918 0.3 0.3
51 1 0.350272 0 0 0 -0 0.641192 1.43426 0.000837498 -0.0535849 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0294942 -0.00477222 0.107163 0.3 0.3
51 2 0.350272 0 0 0 -0 1.19831 0.728752 -0.00153064 -0.129131 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0139428 -0.00460838 0.259025 0.3 0.3
51 0 0.400269 0 -0 0 -0 -1.02922 -0.981139 0.0204109 -0.00434462 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00546694 0.0291901 0.00877002 0.3 0.3
51 1 0.400269 0 -0 0 -0 0.641215 1.43427 0.000842611 -0.0536687 0 0 0 0 0 0 0 0 0 0 0 0 0 0.028798 -0.00370334 0.107347 0.3 0.3
51 2 0.400269 0 -0 0 -0 1.19831 0.728744 -0.00152856 -0.129073 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0138254 -0.00464549 0.258908 0.3 0.3
51 0 0.450266 0 0 0 -0 -1.02922 -0.981131 0.0204178 -0.00458913 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00469578 0.0298609 0.00924946 0.3 0.3
51 1 0.450266 0 0 0 -0 0.641208 1.43426 0.00084072 -0.0534782 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0288458 -0.00357669 0.106967 0.3 0.3
51 2 0.450266 0 0 0 -0 1.19859 0.728518 -0.00118607 -0.128449 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0290914 -0.0273621 0.258059 0.3 0.3
51 0 0.500234 0 -0 0 -0 -1.02915 -0.981147 0.0204082 -0.00423412 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00540125 0.0300629 0.00855045 0.3 0.3
51 1 0.500234 0 -0 0 -0 0.641185 1.43426 0.00083815 -0.0536905 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0296654 -0.00484106 0.107373 0.3 0.3
51 2 0.500234 0 -0 0 -0 1.19859 0.728526 -0.00119924 -0.128534 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0285642 -0.0266199 0.258211 0.3 0.3
51 0 0.550267 0 0 0 -0 -1.02921 -0.981133 0.0204118 -0.0045067 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00516565 0.0293909 0.00909035 0.3 0.3
51 1 0.550267 0 0 0 -0 0.641193 1.43425 0.000848523 -0.0537019 0 0 0 0 0 0 0 0 0 0 0 0 0 0.029358 -0.00483018 0.107396 0.3 0.3
51 2 0.550267 0 0 0 -0 1.19859 0.728522 -0.00119289 -0.128508 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0290165 -0.027196 0.258174 0.3 0.3
51 0 0.60027 0 -0 0 -0 -1.02921 -0.981126 0.0204065 -0.00445035 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00532713 0.0290359 0.00897903 0.3 0.3
51 1 0.60027 0 -0 0 -0 0.641187 1.43426 0.000836728 -0.0535447 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0295617 -0.00470929 0.107083 0.3 0.3
51 2 0.60027 0 -0 0 -0 1.19831 0.728741 -0.00152863 -0.129275 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0138891 -0.00440004 0.259313 0.3 0.3
51 0 0.650233 0 0 0 -0 -1.02925 -0.980752 0.0200728 -0.0107715 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.00170622 0.0471895 0.0215091 0.3 0.3
51 1 0.650233 0 0 0 -0 0.641188 1.43426 0.000831322 -0.0535432 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0296759 -0.00487521 0.107077 0.3 0.3
51 2 0.650233 0 0 0 -0 1.19859 0.728537 -0.0012071 -0.128586 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0284764 -0.0264649 0.258313 0.3 0.3
51 0 0.700267 0 -0 0 -0 -1.02916 -0.981143 0.0204007 -0.0042453 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00547838 0.0298335 0.00857332 0.3 0.3
51 1 0.700267 0 -0 0 -0 0.641194 1.43426 0.000832982 -0.0535927 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0289225 -0.00455974 0.107182 0.3 0.3
51 2 0.700267 0 -0 0 -0 1.19831 0.728756 -0.00152543 -0.129 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0138611 -0.00457105 0.258759 0.3 0.3
51 0 0.750283 0 0 0 -0 -1.02922 -0.98114 0.0204114 -0.00467513 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00498321 0.0300722 0.00942632 0.3 0.3
51 1 0.750283 0 0 0 -0 0.641217 1.43426 0.00084447 -0.0536506 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0284479 -0.00315858 0.107319 0.3 0.3
51 2 0.750283 0 0 0 -0 1.19859 0.728536 -0.00120909 -0.128589 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0283177 -0.0263525 0.258315 0.3 0.3
51 0 0.800269 0 -0 0 -0 -1.02924 -0.980762 0.0200614 -0.0108324 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.00175852 0.0474555 0.0216297 0.3 0.3
51 1 0.800269 0 -0 0 -0 0.641223 1.43426 0.000833119 -0.0534682 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0291584 -0.00332635 0.10695 0.3 0.3
51 2 0.800269 0 -0 0 -0 1.19859 0.728536 -0.00119734 -0.128593 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0286701 -0.0266619 0.258333 0.3 0.3
51 0 0.850233 0 0 0 -0 -1.02923 -0.98076 0.0200611 -0.0108013 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.00165026 0.0472986 0.0215701 0.3 0.3
51 1 0.850233 0 0 0 -0 0.641196 1.43426 0.00083277 -0.0535599 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0294265 -0.00476915 0.107113 0.3 0.3
51 2 0.850233 0 0 0 -0 1.1986 0.728549 -0.00120531 -0.128849 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0283873 -0.0261262 0.258835 0.3 0.3
51 0 0.900193 0 -0 0 -0 -1.02924 -0.980763 0.0200609 -0.0106966 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.00130935 0.0472035 0.0213686 0.3 0.3
51 1 0.900193 0 -0 0 -0 0.641234 1.4342 0.000789552 -0.0520289 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0277102 -0.000466482 0.104108 0.3 0.3
51 2 0.900193 0 -0 0 -0 1.19859 0.728542 -0.00120907 -0.128642 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0283948 -0.0263242 0.258422 0.3 0.3
51 0 0.950233 0 0 0 -0 -1.02922 -0.981133 0.0204257 -0.004447 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00508066 0.0294148 0.00896975 0.3 0.3
51 1 0.950233 0 0 0 -0 0.641195 1.43426 0.000833655 -0.0535398 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0293512 -0.00457374 0.107075 0.3 0.3
51 2 0.950233 0 0 0 -0 1.19862 0.728545 -0.00119952 -0.12884 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0285661 -0.0265535 0.258827 0.3 0.3
51 0 1.00021 0 -0 0 -0 -1.02915 -0.981146 0.0203926 -0.00427244 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00558861 0.0295533 0.00862845 0.3 0.3
51 1 1.00021 0 -0 0 -0 0.641189 1.43425 0.000832148 -0.0535226 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0293226 -0.00442292 0.107043 0.3 0.3
51 2 1.00021 0 -0 0 -0 1.19831 0.728751 -0.00152549 -0.129158 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0140927 -0.00461925 0.25908 0.3 0.3
51 0 1.05025 0 0 0 -0 -1.02922 -0.981136 0.0204078 -0.00447997 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00524497 0.0292183 0.00903758 0.3 0.3
51 1 1.05025 0 0 0 -0 0.641189 1.43426 0.0008312 -0.053686 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0293367 -0.00478954 0.107365 0.3 0.3
